Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Consumption Tips
Gunjia,667.34,5.68,2.98,70.28,2.05,1.13,2.36,48.16,Fresh preparation retains the most nutrients; avoid overcooking. | Moderate fat content — suitable for active individuals with higher energy demands.
Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,31.31,0.93,0,54.74,Pair with a glass of water or herbal tea for optimal digestive comfort. | Works well as a side dish or main course depending on your daily energy needs.
Rice kheer (Chawal ki kheer),75.03,10.05,2.3,2.97,8.02,0.17,0,75.57,Ideal when combined with seasonal vegetables for a wholesome meal. | Include in your weekly rotation to diversify your nutritional intake.
Makhana kheer,107.85,12.88,3.31,5,11.54,0.11,1.77,111.64,A good addition for elderly individuals to maintain healthy bone density. | Limit frequency for those managing diabetes or insulin sensitivity.
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5,12.79,0.5,2.12,104.8,Include in your weekly rotation to diversify your nutritional intake. | Works well as a side dish or main course depending on your daily energy needs.
Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.2,12.88,0.51,0,105.99,Include in your weekly rotation to diversify your nutritional intake. | Works well as a side dish or main course depending on your daily energy needs.
Paneer kheer,105.31,10.03,4.53,5.37,9.87,0.07,0,144.66,A great option during festive occasions — just keep portions in check. | A good addition for elderly individuals to maintain healthy bone density.
Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.8,9.28,0.51,0,102.74,Consume in moderate portions and savour mindfully for maximum enjoyment. | Combining with a protein source makes this a more complete and satisfying meal.
Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85,9.63,0.73,0,100.12,A good addition for elderly individuals to maintain healthy bone density. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95,8.49,0.55,0,101.75,Ideal when combined with seasonal vegetables for a wholesome meal. | A great option during festive occasions — just keep portions in check.
Moong dal kheer,77.16,9.89,2.95,2.97,7.92,0.4,0,75.66,A smart low-calorie option — ideal for weight management plans. | Very low in fat — an excellent choice for heart-healthy and low-fat diets.
Phirni,116.12,16.11,3.49,4.34,10.79,0.36,0,104.57,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Limit frequency for those managing diabetes or insulin sensitivity."
Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38,13.98,1.86,30.82,11.77,Consume in moderate portions and savour mindfully for maximum enjoyment. | Fresh preparation retains the most nutrients; avoid overcooking.
Shahi suji halwa,382.34,44.44,3.48,21.73,27.21,2.96,50.05,18.64,Ideal when combined with seasonal vegetables for a wholesome meal. | Fresh preparation retains the most nutrients; avoid overcooking.
Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73,16.85,2.65,14.66,106.94,A great option during festive occasions — just keep portions in check. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,37.85,0.49,204.93,35.77,Moderate fat content — suitable for active individuals with higher energy demands. | Fresh preparation retains the most nutrients; avoid overcooking.
Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,17.42,1.64,6.23,14.15,Consume in moderate portions and savour mindfully for maximum enjoyment. | A great option during festive occasions — just keep portions in check.
Pumpkin halwa (Kaddu ka halwa),190.27,27.6,1.33,8.81,26.64,2.97,9.52,24.34,Limit frequency for those managing diabetes or insulin sensitivity. | Fresh preparation retains the most nutrients; avoid overcooking.
Moong dal halwa,349.8,40.23,8.35,17.68,25.59,2.65,34.81,110.4,Consider halving portion size if watching total caloric consumption. | Moderate fat content — suitable for active individuals with higher energy demands.
Caramel custard (steamed),121.58,15.02,4.97,4.87,14.98,0,78.88,88.12,Works well as a side dish or main course depending on your daily energy needs. | A great option during festive occasions — just keep portions in check.
Baked custard,106.53,9.45,5.41,5.3,9.42,0,85.92,95.32,Fresh preparation retains the most nutrients; avoid overcooking. | Works well as a side dish or main course depending on your daily energy needs.
Soft Custard (stirred),109.18,11.19,5.01,5.07,11.15,0,73.35,95.82,Ideal when combined with seasonal vegetables for a wholesome meal. | Limit frequency for those managing diabetes or insulin sensitivity.
Chocolate ice cream,177.7,15.41,4.47,11.25,15.33,0,68.26,84.24,A great option during festive occasions — just keep portions in check. | Fresh preparation retains the most nutrients; avoid overcooking.
Mango ice cream,125.69,11.14,3.4,7.62,11.01,0.52,55.21,67.17,Pair with a glass of water or herbal tea for optimal digestive comfort. | A great option during festive occasions — just keep portions in check.
Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,14.03,0.33,17.12,93.35,"Pair with a glass of water or herbal tea for optimal digestive comfort. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Caramel ice cream,173.52,14.81,4.31,11.15,14.52,0.08,54.79,87.32,"Combining with a protein source makes this a more complete and satisfying meal. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Lemon souffle,168.51,13.43,6.95,10.02,11.67,0,100.42,59.81,Those with cardiovascular conditions should limit intake to once or twice a week. | Limit frequency for those managing diabetes or insulin sensitivity.
Orange souffle,168.28,14.2,6.8,9.73,12.31,0.22,97.54,59.04,"Limit frequency for those managing diabetes or insulin sensitivity. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Vanilla souffle,187.85,14.78,7.71,11.19,12.86,0,109.43,70.6,A great option during festive occasions — just keep portions in check. | A good addition for elderly individuals to maintain healthy bone density.
Chocolate souffle,189.32,14.74,7.88,11.36,12.69,0,108.18,71.55,Fresh preparation retains the most nutrients; avoid overcooking. | Works well as a side dish or main course depending on your daily energy needs.
Pineapple souffle ,196.14,15.52,8.06,11.72,13.45,0,117.82,67.23,Rich in dietary cholesterol — complement with high-fibre foods to maintain heart health. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Apple mousse,106.92,12.77,4.21,4.27,10.56,1.6,57.67,33.76,Works well as a side dish or main course depending on your daily energy needs. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Rich chocolate mousse,188.26,10.84,7.96,12.19,10.3,0,111.71,54.59,Pair with a glass of water or herbal tea for optimal digestive comfort. | Limit frequency for those managing diabetes or insulin sensitivity.
Mango mousse,124.98,9.14,3.21,8.47,8.89,0.88,23.66,51.38,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Pair with a glass of water or herbal tea for optimal digestive comfort."
Orange and pineapple cream,101.18,11.96,1.44,5.43,11.37,1.03,15.43,35,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Include in your weekly rotation to diversify your nutritional intake.
Charlotte rousse,188.29,34.08,3.95,4.78,20.48,1.01,47.04,34.95,Limit frequency for those managing diabetes or insulin sensitivity. | A great option during festive occasions — just keep portions in check.
Triffle pudding,116.97,18.24,2.93,3.93,13.89,0.12,36.95,48.72,Fresh preparation retains the most nutrients; avoid overcooking. | Works well as a side dish or main course depending on your daily energy needs.
Snow flakes pudding,95.21,8.07,4.67,4.97,8.01,0.03,57.55,101.33,A smart low-calorie option — ideal for weight management plans. | Ideal when combined with seasonal vegetables for a wholesome meal.
Kulfi,98.43,11.3,3.21,4.7,10.39,0.12,0,111.86,Pair with a glass of water or herbal tea for optimal digestive comfort. | A great option during festive occasions — just keep portions in check.
Steamed orange pudding,278.03,41.53,2.34,12.04,26.53,0.58,31.86,21.15,A great option during festive occasions — just keep portions in check. | Consume sparingly; high sugar content may spike blood glucose levels.
Meringue and rice pudding,112.93,14.6,4.84,4.05,10.87,0.17,40.85,85.43,"Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Cheese pudding,285.01,19.27,11.29,18.37,18.63,0.05,99.76,226.11,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Fresh preparation retains the most nutrients; avoid overcooking."
Chocolate pudding,211.96,29.59,3.55,9.48,20.68,0.53,46.25,64.56,Consume in moderate portions and savour mindfully for maximum enjoyment. | Combining with a protein source makes this a more complete and satisfying meal.
Bread and butter pudding ,167.94,19.63,5.59,7.88,11.84,0.98,55.29,105.54,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Queen of pudding,132.92,16.35,5.51,5.38,11.77,0.27,60.59,78.26,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Fresh preparation retains the most nutrients; avoid overcooking.
Pineapple upside down pudding,257.73,35.73,3.15,11.91,22.16,0.8,62.13,26.05,A great option during festive occasions — just keep portions in check. | Works well as a side dish or main course depending on your daily energy needs.
Date and nut pie,322.42,46.86,3.93,13.31,31.18,4.13,18.85,34.69,A great option during festive occasions — just keep portions in check. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Stewed apple with custard,92.87,18.36,1.27,1.82,15.46,1.01,0,49.24,Fresh preparation retains the most nutrients; avoid overcooking. | Very low in fat — an excellent choice for heart-healthy and low-fat diets.
Apple snowballs,101.51,24.58,0.86,0.31,19.4,1.25,0,9.43,Works well as a side dish or main course depending on your daily energy needs. | A great option during festive occasions — just keep portions in check.
Hot orange souffle,179.97,18.77,6.87,8.95,14.93,0.29,160.48,53.81,Consume in moderate portions and savour mindfully for maximum enjoyment. | Combining with a protein source makes this a more complete and satisfying meal.
Hot chocolate souffle,226.09,26.21,6.7,11.1,22.88,0.12,138.51,60.19,"Pair with a glass of water or herbal tea for optimal digestive comfort. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Hot vanilla souffle,192.93,21.77,6.87,9.07,18.17,0.13,153.55,63.2,Include in your weekly rotation to diversify your nutritional intake. | Works well as a side dish or main course depending on your daily energy needs.
Plain burfi (Burfi),408.32,30.88,9.82,27.96,30.43,0.17,38.12,355.78,Include in your weekly rotation to diversify your nutritional intake. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,31.5,3.5,29.26,272.81,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Pair with Vitamin D sources like sunlight or eggs for better calcium absorption.
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,23.92,0.73,26.43,215.85,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Works well as a side dish or main course depending on your daily energy needs."
Chocolate burfi,339.33,33.15,13,17.86,32.38,0,3.78,466.48,Ideal for breakfast or lunch to sustain energy and curb hunger longer. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact.
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,31.43,1.12,38.62,12.95,Opt for smaller servings and pair with salads or raw vegetables for balance. | Moderate fat content — suitable for active individuals with higher energy demands.
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,28.44,3.41,40.13,160.71,"A good addition for elderly individuals to maintain healthy bone density. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,33.28,4.68,27.87,106.42,Excellent choice for those managing cholesterol or blood sugar levels. | Balance with lighter meals throughout the day to manage daily calorie intake.
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03,27.32,6.69,33.81,26.72,Balance with lighter meals throughout the day to manage daily calorie intake. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact.
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,37.76,4.43,52.34,25.35,Opt for smaller servings and pair with salads or raw vegetables for balance. | A great option during festive occasions — just keep portions in check.
Sesame ladoo (Til ke ladoo),396.96,43.5,10.7,19.64,38.63,7.72,0,631.82,Consume with plenty of water to support smooth digestion. | Fresh preparation retains the most nutrients; avoid overcooking.
Chenna murki,252.69,36.01,10.46,8.2,35.55,0,0,266.85,Pair with Vitamin D sources like sunlight or eggs for better calcium absorption. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Milk cake,127.41,9.13,3.01,8.93,8.9,0.06,11.56,104.94,Ideal when combined with seasonal vegetables for a wholesome meal. | Combining with a protein source makes this a more complete and satisfying meal.
Ghujia/Lavang latika,768.98,13,1.86,78.93,6.08,0.52,4.62,31.01,Consume in moderate portions and savour mindfully for maximum enjoyment. | Include in your weekly rotation to diversify your nutritional intake.
Gulab Jamun with khoya,586.06,26.09,2.03,53.23,24.12,0.07,0,67.32,Consume in moderate portions and savour mindfully for maximum enjoyment. | Ideal when combined with seasonal vegetables for a wholesome meal.
Mal pua,566.68,17.56,1.71,54.64,11.77,0.62,0,30.05,Balance with lighter meals throughout the day to manage daily calorie intake. | Moderate fat content — suitable for active individuals with higher energy demands.
Shahi tukre,189.81,41.46,2.76,2.54,34.7,0.51,0,76.47,"Fresh preparation retains the most nutrients; avoid overcooking. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.9,71.84,0.22,1.03,0,6.59,Enjoy in controlled portions; best reserved as an occasional indulgence. | Fresh preparation retains the most nutrients; avoid overcooking.
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.9,71.84,0.88,1.11,0,7.95,Works well as a side dish or main course depending on your daily energy needs. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,0.23,1.26,0,8.44,Enjoy in controlled portions; best reserved as an occasional indulgence. | Moderate fat content — suitable for active individuals with higher energy demands.
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,0.38,1.13,0,9.55,Ideal when combined with seasonal vegetables for a wholesome meal. | Works well as a side dish or main course depending on your daily energy needs.
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,0.2,1.02,0,10.99,Works well as a side dish or main course depending on your daily energy needs. | Fresh preparation retains the most nutrients; avoid overcooking.
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,0.25,1.18,0,23.07,Fresh preparation retains the most nutrients; avoid overcooking. | Include in your weekly rotation to diversify your nutritional intake.
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,0.19,0.86,28.39,9.55,Pair with a glass of water or herbal tea for optimal digestive comfort. | Combining with a protein source makes this a more complete and satisfying meal.
Bread pakora/pakoda,710.99,8.87,2.57,74.2,0.46,1.11,0,19.83,Pair with a glass of water or herbal tea for optimal digestive comfort. | Opt for smaller servings and pair with salads or raw vegetables for balance.
Paneer pakora/pakoda,718.12,5.52,3.27,76.05,1.08,0.89,0,43.38,Fresh preparation retains the most nutrients; avoid overcooking. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.8,0.27,0.83,0,6.79,"Enjoy in controlled portions; best reserved as an occasional indulgence. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,0.29,1.19,2.33,7.63,Consume in moderate portions and savour mindfully for maximum enjoyment. | Combining with a protein source makes this a more complete and satisfying meal.
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,0.5,0.39,16.71,6.7,Works well as a side dish or main course depending on your daily energy needs. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,1.69,1.02,0,64.56,Opt for smaller servings and pair with salads or raw vegetables for balance. | Fresh preparation retains the most nutrients; avoid overcooking.
Mathri,805.12,12.32,1.75,83.1,0.29,0.6,0,5.23,Opt for smaller servings and pair with salads or raw vegetables for balance. | Ideal when combined with seasonal vegetables for a wholesome meal.
Khasta kachori,712.73,12.81,2.51,72.27,0.34,0.97,0,7.84,Enjoy in controlled portions; best reserved as an occasional indulgence. | A great option during festive occasions — just keep portions in check.
Vegetable cutlet,665.45,4.68,1.25,71.33,0.35,0.93,6.77,13.55,Works well as a side dish or main course depending on your daily energy needs. | Ideal when combined with seasonal vegetables for a wholesome meal.
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,0.27,0.86,6.9,9.17,Enjoy in controlled portions; best reserved as an occasional indulgence. | Balance with lighter meals throughout the day to manage daily calorie intake.
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74,0.51,1.21,6.75,14.38,Fresh preparation retains the most nutrients; avoid overcooking. | Consider halving portion size if watching total caloric consumption.
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,0.29,0.54,11.02,10.44,A great option during festive occasions — just keep portions in check. | Consider halving portion size if watching total caloric consumption.
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.4,1.02,0.41,13.33,45.36,Balance with lighter meals throughout the day to manage daily calorie intake. | Opt for smaller servings and pair with salads or raw vegetables for balance.
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.6,0.16,0.93,6.98,11.3,Works well as a side dish or main course depending on your daily energy needs. | Moderate fat content — suitable for active individuals with higher energy demands.
Cheese toast,785.37,5.49,1.98,84.11,0.53,0.31,11.55,43.87,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Pair with a glass of water or herbal tea for optimal digestive comfort."
Vegetable burger,519.93,13.69,3.26,50.63,1.88,1.7,7.4,26.08,Consume in moderate portions and savour mindfully for maximum enjoyment. | Moderate fat content — suitable for active individuals with higher energy demands.
Cheese pizza,249.5,30.62,5.79,12.43,3.42,1.95,10.64,96.51,Consume in moderate portions and savour mindfully for maximum enjoyment. | Include in your weekly rotation to diversify your nutritional intake.
Vegetable seekh kebab,690.73,5.32,1.57,73.72,0.74,0.59,0,32.66,Fresh preparation retains the most nutrients; avoid overcooking. | Opt for smaller servings and pair with salads or raw vegetables for balance.
Masala vada,826.02,4.06,1.69,89.15,0.24,1.07,0,7.45,Consider halving portion size if watching total caloric consumption. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Peanut sago vada (Sabudana mungfali vada),749.89,7.14,1.01,79.82,0.19,0.62,0,5.03,Enjoy in controlled portions; best reserved as an occasional indulgence. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Vegeterian scotch egg,681.67,4.64,2.16,72.77,0.23,0.58,34.24,15.2,Balance with lighter meals throughout the day to manage daily calorie intake. | Moderate fat content — suitable for active individuals with higher energy demands.
Paneer shaslik/tikka,93.85,7.98,5.11,4.49,4.61,1.23,0,123.86,Pair with Vitamin D sources like sunlight or eggs for better calcium absorption. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Peanut brittle (Moongfali ki chikki),320.46,47.46,6.94,11.13,43.92,2.63,2.5,68.03,Consume sparingly; high sugar content may spike blood glucose levels. | Works well as a side dish or main course depending on your daily energy needs.
Spring roll,623.87,8.56,1.81,64.63,0.6,0.67,12.15,9.51,Balance with lighter meals throughout the day to manage daily calorie intake. | Works well as a side dish or main course depending on your daily energy needs.
Dry mango chutney (Sookhe aam ki chutney),298.13,69.17,2.43,0.7,61.86,3.74,0,72.05,Excellent choice for those managing cholesterol or blood sugar levels. | Light on the digestive system; suitable for those recovering from illness.
Peanut chutney (Mungfali ki chutney),258.37,9.87,11.8,19.06,2.76,5.73,0,34.79,Excellent choice for those managing cholesterol or blood sugar levels. | Best consumed post-workout to aid in muscle recovery and repair.
Coconut chutney (Nariyal ki chutney),265.92,8.29,3.59,25,3.79,6.73,0,15.7,"Rich in fats — consume mindfully and balance with active movement during the day. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,21.18,2.81,0.51,15.88,4.33,0,107.45,Pair with Vitamin D sources like sunlight or eggs for better calcium absorption. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Custard tart,225.6,28.66,3.72,10.73,9.31,0.91,22.28,57.47,"Combining with a protein source makes this a more complete and satisfying meal. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Lemon tart,303.35,30.68,6.12,17.45,10.68,0.81,123.17,24.03,Consume in moderate portions and savour mindfully for maximum enjoyment. | Those with cardiovascular conditions should limit intake to once or twice a week.
Jam tart,360.72,46.18,4.42,17.35,14.74,1.14,44.15,12.23,Consume in moderate portions and savour mindfully for maximum enjoyment. | A great option during festive occasions — just keep portions in check.
Orange cream tart,197.16,27.43,2.58,8.72,10.08,0.64,22.13,13.84,Ideal when combined with seasonal vegetables for a wholesome meal. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Pineapple tart,195.4,28.62,2.29,8.21,11.09,0.87,20.7,12.02,Pair with a glass of water or herbal tea for optimal digestive comfort. | A great option during festive occasions — just keep portions in check.
Cheese and mushroom tart,246.1,21.43,5.51,15.28,3.16,1.18,37.99,100.97,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Fresh preparation retains the most nutrients; avoid overcooking.
Cottage cheese pie,238.98,20.66,7.45,13.83,3.62,2.21,20.86,108.05,Pair with Vitamin D sources like sunlight or eggs for better calcium absorption. | Works well as a side dish or main course depending on your daily energy needs.
Minced meat pie,221.55,18.11,7.38,13.04,1.42,2.33,34.57,18.14,Moderate fat content — suitable for active individuals with higher energy demands. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Apple cinnamon pie,258.73,33.68,3.35,12.21,11.95,1.77,36.52,16.14,Limit frequency for those managing diabetes or insulin sensitivity. | Works well as a side dish or main course depending on your daily energy needs.
Lemon meringue pie,224.43,35.11,3.88,8.16,21.17,0.44,75.3,16.79,Consume sparingly; high sugar content may spike blood glucose levels. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Chocolate meringue pie,214.76,28.8,4.98,9.17,15.03,0.37,64.11,55.98,Works well as a side dish or main course depending on your daily energy needs. | Fresh preparation retains the most nutrients; avoid overcooking.
Cream puffs,221.33,16,4.7,15.48,5.94,0.38,100.48,37.93,Ideal when combined with seasonal vegetables for a wholesome meal. | Combining with a protein source makes this a more complete and satisfying meal.
Chocolate eclairs,239.42,26.22,4.24,13.5,17.34,0.33,85.94,34.21,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact."
Cheese balls,681.28,4.81,2.21,72.57,0.63,0.18,37.78,30.01,Pair with a glass of water or herbal tea for optimal digestive comfort. | Balance with lighter meals throughout the day to manage daily calorie intake.
Minced meat patties,265.72,15.25,6.88,19.57,0.88,0.77,81.36,19.23,Fresh preparation retains the most nutrients; avoid overcooking. | A great option during festive occasions — just keep portions in check.
Cheese patties,324.01,22.23,7.38,22.67,3.93,1.24,0,126.41,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Excellent for bone and dental health — especially beneficial for growing children."
Hot cheese souffle,177.1,5.41,9.18,13.23,2.91,0.12,149.14,169.17,Add a side of leafy greens to boost micronutrient absorption. | Ideal when combined with seasonal vegetables for a wholesome meal.
Hot potato souffle,125.64,8.56,5.51,7.64,1.78,0.66,109.09,56.84,Works well as a side dish or main course depending on your daily energy needs. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Hot fish souffle,142.92,3.69,11.23,9.24,1.68,0.1,122.69,58.18,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Pair with complex carbs for a complete and balanced macronutrient meal.
Hot spinach souffle,104.25,4.19,5.43,7.24,1.64,0.99,100.84,80.77,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Fresh preparation retains the most nutrients; avoid overcooking.
Plain cream cake,353.94,47.18,6.18,16.17,27.74,0.71,120.92,41.95,Ideal when combined with seasonal vegetables for a wholesome meal. | Consider halving portion size if watching total caloric consumption.
Apple cake (Seb ka cake),290.08,39.48,4.94,12.87,23.52,1.22,94.69,38.99,Works well as a side dish or main course depending on your daily energy needs. | A great option during festive occasions — just keep portions in check.
Marble cake,354.11,46.88,6.3,16.27,27.56,0.71,120.14,39.6,Limit frequency for those managing diabetes or insulin sensitivity. | Works well as a side dish or main course depending on your daily energy needs.
Chocolate cake,335.61,45.14,6.01,15.18,27.58,0.64,109.36,41.13,Consume in moderate portions and savour mindfully for maximum enjoyment. | Fresh preparation retains the most nutrients; avoid overcooking.
Orange cake,357.61,48.28,6.1,16.21,28.38,0.83,123.67,29.72,Moderate fat content — suitable for active individuals with higher energy demands. | Works well as a side dish or main course depending on your daily energy needs.
Fruit Loaf ,324.19,46.49,5.36,13.31,24.54,0.87,90,45.71,Those with cardiovascular conditions should limit intake to once or twice a week. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Banana cake (Kele ka cake),389.51,40,5.77,23.31,23.04,1.14,68.99,23.55,A great option during festive occasions — just keep portions in check. | Fresh preparation retains the most nutrients; avoid overcooking.
Chocolate chiffon cake,311.71,37.87,5.76,15.8,24.25,0.7,93.35,42.15,Works well as a side dish or main course depending on your daily energy needs. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Christmas cake,372.95,48.29,5.49,16.88,27.45,1.49,97.81,40.98,"Ideal when combined with seasonal vegetables for a wholesome meal. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39,32.43,0.79,101.12,28.17,Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact. | Rich in dietary cholesterol — complement with high-fibre foods to maintain heart health.
Eggless cake,318.08,46.14,8.12,11.75,27.7,0.68,27.68,212.97,Consume in moderate portions and savour mindfully for maximum enjoyment. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact.
Swiss roll,251.87,48.34,7.3,3.77,32.96,0.55,144.66,24.11,Works well as a side dish or main course depending on your daily energy needs. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Pineapple pastry ,208.21,29.04,6.06,7.87,18.83,0.72,115.34,42.97,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Consume sparingly; high sugar content may spike blood glucose levels."
Black forest pastry,233.55,34.48,6.09,8.46,21.35,0.54,113.03,44.15,Include in your weekly rotation to diversify your nutritional intake. | A great option during festive occasions — just keep portions in check.
Coconut finger,274.86,42.56,7.09,8.86,28.55,1.87,127.97,24.04,Include in your weekly rotation to diversify your nutritional intake. | Limit frequency for those managing diabetes or insulin sensitivity.
Pineapple cake ,195.57,23.51,5.01,9.34,16.16,0.76,92.79,49.06,Include in your weekly rotation to diversify your nutritional intake. | Those with cardiovascular conditions should limit intake to once or twice a week.
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,47.1,6.56,23.62,22.58,1.54,69.03,36.1,Include in your weekly rotation to diversify your nutritional intake. | Moderate fat content — suitable for active individuals with higher energy demands.
Chocolate chip cookies,425.29,57.98,5.79,19.38,30.29,1.05,75.98,24.76,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Sweet plain biscuit,380.76,50.29,5.86,17.67,21.77,1.07,76.89,42.88,Combining with a protein source makes this a more complete and satisfying meal. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Chocolate biscuit,379.76,51.56,5.88,17.09,24.16,1.01,72.66,41.51,Works well as a side dish or main course depending on your daily energy needs. | Moderate fat content — suitable for active individuals with higher energy demands.
Coconut biscuit (Nariyal ke biscuit),434.98,42.9,5.78,27.16,20.76,3.64,64.98,37.81,Fresh preparation retains the most nutrients; avoid overcooking. | Excellent choice for those managing cholesterol or blood sugar levels.
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,45.09,6.15,22.39,7.22,1.68,55.18,37.24,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Balance with lighter meals throughout the day to manage daily calorie intake."
Peanut biscuit,401.05,46.72,8.45,20.41,21.26,2.48,61.88,50.58,Limit frequency for those managing diabetes or insulin sensitivity. | Include in your weekly rotation to diversify your nutritional intake.
